Q006,Q024,Q003,Q001,Q004,Q002,Q008,Q010,Q018,Q019,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,cluster
1,0,1,2,1,4,2,1,0,1,525.3,473.9,535.8,380.5,640.0,2
2,1,0,1,1,4,2,0,0,1,457.5,503.5,405.3,466.9,580.0,0
1,0,5,1,1,2,1,0,0,1,455.0,475.2,418.1,424.8,340.0,0
2,0,2,4,3,7,1,0,0,1,477.8,557.5,494.6,501.0,800.0,2
7,1,3,5,1,4,3,2,0,3,391.7,603.0,546.2,650.5,740.0,1
1,0,1,1,1,2,1,0,0,1,597.8,604.6,594.1,782.4,820.0,0
1,0,5,3,3,3,1,0,1,1,376.4,476.4,488.7,609.8,840.0,2
1,0,1,1,1,3,1,0,0,1,406.3,428.7,502.8,382.3,500.0,0
1,0,5,4,1,4,1,0,0,1,504.9,496.0,548.4,460.2,680.0,0
3,0,2,2,5,3,2,1,1,4,492.0,537.6,494.0,494.3,680.0,1
4,0,3,6,5,3,1,1,0,1,430.9,420.8,457.6,476.6,460.0,0
0,0,1,1,1,3,2,0,0,0,454.1,525.0,508.2,331.8,480.0,0
10,4,4,5,3,4,2,2,1,4,346.9,468.9,459.6,406.8,0.0,1
6,3,3,4,4,5,3,1,1,4,542.9,564.2,571.7,439.5,360.0,1
2,0,1,7,1,3,1,1,0,2,486.4,525.9,498.4,520.8,520.0,0
1,1,1,5,1,4,1,0,0,1,564.4,686.1,598.0,681.0,700.0,2
4,0,5,4,1,4,1,0,0,1,485.8,423.2,488.9,502.4,520.0,0
7,1,2,4,3,5,2,1,0,1,613.2,627.2,561.6,687.1,920.0,2
3,0,2,3,1,3,1,1,0,1,427.5,461.3,429.1,396.6,0.0,0
16,3,4,4,5,4,4,2,1,4,515.9,540.8,540.9,559.7,540.0,1
3,1,1,4,1,4,2,0,1,2,591.8,579.2,521.8,660.5,920.0,2
2,1,0,4,1,4,1,0,0,1,585.1,591.1,585.5,656.3,440.0,0
4,0,1,3,1,4,1,0,0,1,483.5,478.5,420.6,398.0,960.0,0
1,0,2,4,1,4,1,1,0,1,548.7,564.2,572.3,511.2,480.0,2
1,0,5,7,5,7,1,0,0,1,447.9,418.4,456.5,363.2,500.0,0
6,0,2,4,1,3,2,1,1,0,541.4,589.4,492.7,554.9,640.0,2
6,3,0,3,0,1,2,1,1,2,539.3,640.2,582.1,379.0,820.0,2
6,1,4,4,4,4,4,2,0,4,469.3,528.8,525.1,635.0,580.0,1
1,0,1,4,1,3,1,0,0,1,514.0,490.9,474.7,520.6,700.0,0
1,0,2,2,1,2,1,0,0,1,490.9,516.9,389.2,424.6,440.0,0
0,0,0,1,0,3,1,0,0,1,537.9,448.3,496.0,397.7,540.0,0
6,0,1,1,1,4,1,0,0,1,519.5,455.6,470.5,428.1,520.0,0
1,0,1,4,0,3,1,0,0,1,594.3,604.9,508.4,683.9,840.0,0
5,1,1,4,1,4,2,1,0,2,444.3,369.8,407.9,461.6,600.0,0
3,0,1,0,0,0,1,0,0,1,428.3,351.8,410.7,392.4,440.0,0
1,0,0,4,0,2,1,0,0,1,442.2,322.9,410.2,382.7,420.0,0
9,0,4,6,4,6,2,1,0,1,562.0,562.2,584.1,541.0,540.0,1
5,1,2,2,3,4,2,1,0,2,492.8,569.1,519.9,624.8,620.0,2
0,0,0,1,0,1,1,0,0,0,376.5,438.7,411.4,425.8,620.0,0
1,0,0,2,0,3,1,0,0,1,491.5,514.5,562.0,501.8,560.0,0
13,0,2,4,2,4,2,3,0,1,473.1,575.5,546.0,578.2,780.0,1
0,1,2,4,1,4,1,0,0,1,489.7,426.0,452.4,488.2,560.0,0
1,1,2,1,2,1,2,1,1,2,465.3,578.9,514.7,561.3,480.0,2
